YearID,TeamID,Salary,Adjusted Salary,Wins,ERA,Strikeouts
1997,SFN,35592378,52098222,90,5.843333333333334,1044
1997,SLN,45456667,66537041,73,4.9192,1130
1997,TEX,53448838,78235554,77,5.499499999999999,925
1997,TOR,47079833,68912945,76,4.6375,1150
1998,ANA,41281000,59008714,85,5.077894736842105,1091
1998,ARI,32347000,46238096,65,9.1492,908
1998,ATL,61186000,87461718,106,4.628947368421053,1232
1998,BAL,72355634,103428040,79,6.485454545454545,1065
1998,BOS,56757000,81130728,92,5.864347826086957,1025
1998,CHA,38335000,54797583,80,5.6594999999999995,911
1998,CHN,50838000,72669872,90,5.911666666666666,1207
1998,CIN,23005000,32884268,77,5.88375,1098
1998,CLE,60800166,86910191,89,5.696521739130435,1037
1998,COL,50484648,72164777,77,4.872105263157894,951
1998,DET,24065000,34399474,65,5.3885000000000005,947
1998,FLO,41322667,59068274,54,5.728181818181818,1016
1998,HOU,42374000,60571092,102,4.691111111111111,1187
1998,KCA,36862500,52692733,72,5.409545454545455,999
1998,LAN,48820000,69785262,83,4.7936000000000005,1178
1998,MIL,33914904,48479321,74,11.13391304347826,1063
1998,MIN,27927500,39920686,70,4.623529411764705,952
1998,MON,10641500,15211386,65,5.625263157894737,1017
1998,NYA,66806867,95496410,114,4.93,1080
1998,NYN,52077999,74442376,88,4.359,1129
1998,OAK,21303000,30451361,74,5.200526315789474,922
1998,PHI,36297500,51885099,75,11.274285714285716,1176
1998,PIT,15065000,21534514,69,4.171764705882353,1112
1998,SDN,46861500,66985704,98,4.351904761904762,1217
1998,SEA,54087036,77314174,76,5.6715,1156
1998,SFN,42565834,60845307,89,4.253529411764706,1089
1998,SLN,54672521,78151090,83,5.304782608695652,972
1998,TBA,27280000,38995124,63,5.926666666666667,1008
1998,TEX,56572095,80866417,88,6.175714285714285,994
1998,TOR,51376000,73438911,88,5.056,1154
1999,ANA,55388166,77394000,70,4.8195,877
1999,ARI,68703999,96000241,100,4.8785,1198
1999,ATL,73140000,102198674,103,8.459090909090909,1197
1999,BAL,80605863,112630740,78,5.211428571428572,982
1999,BOS,63497500,88725189,94,4.864,1131
1999,CHA,25620000,35798879,75,5.519047619047619,968
1999,CHN,62343000,87112004,67,6.700399999999999,980
1999,CIN,33962761,47456236,96,5.522941176470589,1081
1999,CLE,72978462,101972957,97,9.6996,1120
1999,COL,61935837,86543074,72,6.641666666666667,1032
1999,DET,36489666,50987086,69,6.937142857142858,976
1999,FLO,21085000,29462114,64,6.01,943
1999,HOU,54914000,76731446,97,4.755333333333334,1204
1999,KCA,26225000,36644247,64,6.2914814814814815,831
1999,LAN,80862453,112989274,77,5.555714285714286,1077
1999,MIL,43377395,60611324,74,5.787916666666667,987
1999,MIN,21257500,29703149,63,5.750555555555556,927
1999,MON,17903000,25015899,68,6.739999999999999,1043
1999,NYA,86734359,121194101,98,6.160555555555556,1111
1999,NYN,65092092,90953316,97,4.972608695652174,1172
1999,OAK,24431833,34138651,87,5.602608695652174,967
1999,PHI,31692500,44283996,77,5.707727272727272,1030
1999,PIT,24697666,34510100,78,6.193333333333333,1083
1999,SDN,49768179,69541180,74,5.9895000000000005,1078
1999,SEA,54125003,75628979,79,7.052142857142857,980
1999,SFN,46595057,65107370,86,4.88,1076
1999,SLN,49778195,69555175,75,5.728181818181818,1025
1999,TBA,38870000,54313132,69,5.264166666666667,1055
1999,TEX,76709931,107186946,95,8.01,979
1999,TOR,45444333,63499461,84,7.645454545454545,1009
2000,ANA,51464167,70431917,82,5.3844,846
2000,ARI,81027833,110891635,85,5.31,1220
2000,ATL,84537836,115695293,95,5.575909090909091,1093
2000,BAL,81447435,111465887,74,6.768636363636364,1017
2000,BOS,77940333,106666199,85,5.046666666666667,1121
2000,CHA,31133500,42608133,95,6.104545454545455,1037
2000,CHN,60539333,82851847,65,7.099166666666666,1143
2000,CIN,46867200,64140682,85,5.970952380952381,1015
2000,CLE,75880771,103847561,90,6.3228125,1213
2000,COL,61111190,83634469,82,9.492799999999999,1001
2000,DET,58265167,79739509,79,6.258181818181819,978
2000,FLO,19872000,27196069,79,4.801666666666667,1051
2000,HOU,51289111,70192342,72,5.968695652173913,1064
2000,KCA,23433000,32069519,77,6.7004166666666665,927
2000,LAN,87924286,120329861,86,6.331904761904762,1154
2000,MIL,36505333,49959821,73,6.3933333333333335,967
2000,MIN,16519500,22607964,69,5.838235294117647,1042
2000,MON,32994333,45154799,67,8.396666666666667,1011
2000,NYA,92338260,126370659,87,6.325,1040
2000,NYN,79509776,108814080,94,7.027500000000001,1164
2000,OAK,31971333,43754760,91,6.552380952380952,963
2000,PHI,47308000,64743944,65,5.816296296296296,1123
2000,PIT,28928334,39590226,69,7.394166666666667,1070
2000,SDN,54821000,75025952,76,5.858620689655172,1071
2000,SEA,58915000,80628846,91,5.961875,998
2000,SFN,53737826,73543561,97,4.9811764705882355,1076
2000,SLN,61453863,84103438,95,5.4165217391304346,1100
2000,TBA,62765129,85897988,69,6.93625,955
2000,TEX,70795921,96888627,71,9.242105263157894,918
2000,TOR,44838332,61364049,83,6.372272727272727,978
2001,ANA,47535167,63530113,75,4.181666666666667,947
2001,ARI,85082999,113712288,92,4.173181818181818,1297
2001,ATL,91936166,122871454,88,6.114347826086957,1133
2001,BAL,67599540,90345879,63,5.377727272727273,938
2001,BOS,110035833,147061416,82,4.671739130434783,1259
2001,CHA,65653667,87745246,83,6.661428571428571,921
2001,CHN,64715833,86491843,88,6.069999999999999,1344
2001,CIN,48986000,65469132,66,4.7568,943
2001,CLE,93152001,124496401,91,5.484583333333333,1218
2001,COL,71541334,95614034,73,6.224615384615385,1058
2001,DET,53416167,71389991,66,5.682727272727273,859
2001,FLO,35762500,47796102,76,10.279130434782608,1119
2001,HOU,60612667,81008017,93,5.388,1228
2001,KCA,35422500,47341696,65,4.981578947368422,911
2001,LAN,109105953,145818644,86,4.805714285714286,1212
2001,MIL,43886833,58654164,68,5.034166666666667,1057
2001,MIN,24130000,32249421,85,5.682380952380952,965
2001,MON,35159500,46990200,68,5.576521739130435,1103
2001,NYA,112287143,150070262,95,6.392,1266
2001,NYN,93174428,124526374,82,5.892727272727272,1191
2001,OAK,33810750,45187614,102,3.229375,1117
2001,PHI,41663833,55683154,86,4.200909090909091,1086
2001,PIT,57760833,77196579,62,5.945454545454546,908
2001,SDN,39182833,52367331,79,5.154400000000001,1088
2001,SEA,74720834,99863393,116,3.918,1051
2001,SFN,63280167,84573095,90,5.067222222222222,1080
2001,SLN,78538333,104965429,93,5.929047619047619,1083
2001,TBA,56980000,76153006,62,5.44875,1030
2001,TEX,88633500,118457485,73,6.601999999999999,951
2001,TOR,76895999,102770472,80,4.4055,1041
2002,ANA,61721667,80399786,99,3.425555555555556,999
2002,ARI,102819999,133935235,98,5.436999999999999,1303
2002,ATL,92870367,120974660,101,5.034000000000001,1058
2002,BAL,60493487,78799936,67,5.4875,967
2002,BOS,108366060,141159636,93,4.437777777777778,1157
2002,CHA,57052833,74318076,81,5.024375,945
2002,CHN,75690833,98596280,67,6.03,1333
2002,CIN,45050390,58683472,78,4.479523809523809,980
2002,CLE,78909449,102788909,74,5.246774193548387,1058
2002,COL,56851043,74055221,73,5.744090909090909,920
2002,DET,55048000,71706544,55,7.547931034482758,794
2002,FLO,41979917,54683817,79,5.038095238095238,1104
2002,HOU,63448417,82649083,84,8.08904761904762,1219
2002,KCA,47257000,61557843,62,6.443076923076924,909
2002,LAN,94850953,123554608,92,4.548947368421052,1132
2002,MIL,50287833,65505862,56,5.704400000000001,1026
2002,MIN,40425000,52658353,94,5.634736842105263,1026
2002,MON,38670500,50372909,83,4.4670000000000005,1088
2002,NYA,125928583,164036904,103,5.048235294117648,1135
2002,NYN,94633593,123271470,75,3.908,1107
2002,OAK,40004167,52110168,103,4.169411764705882,1021
2002,PHI,57954999,75493255,80,4.1005,1075
2002,PIT,42323599,55131503,72,4.743157894736842,920
2002,SDN,41425000,53960972,66,5.7737837837837835,1108
2002,SEA,80282668,104577690,93,5.998947368421052,1063
2002,SFN,78299835,101994815,95,3.2911764705882356,992
2002,SLN,74660875,97254638,97,5.8442307692307685,1009
2002,TBA,34380000,44784024,55,6.2309090909090905,925
2002,TEX,105526122,137460280,72,6.3859259259259264,1030
2002,TOR,76864333,100124903,78,6.129583333333333,991
2003,ANA,79031667,100535266,77,4.938421052631579,980
2003,ARI,80657000,102602834,84,4.387727272727273,1291
2003,ATL,106243667,135151336,101,4.539411764705882,992
2003,BAL,73877500,93978710,71,5.3185,981
2003,BOS,99946500,127140783,95,6.359615384615385,1141
2003,CHA,51010000,64889229,86,10.36,1056
2003,CHN,79868333,101599579,88,4.7435294117647056,1404
2003,CIN,59355667,75505655,69,5.797666666666667,932
2003,CLE,48584834,61804203,68,6.1803448275862065,943
2003,COL,67179667,85458475,74,5.273478260869565,866
2003,DET,49168000,62546042,43,5.1795,764
2003,FLO,49450000,62904771,91,5.086363636363637,1132
2003,HOU,71040000,90369159,87,4.2073913043478255,1139
2003,KCA,40518000,51542477,83,6.191379310344828,865
2003,LAN,105572620,134297705,85,4.034736842105263,1289
2003,MIL,40627000,51681135,68,5.571739130434783,1034
2003,MIN,55505000,70607266,90,6.591499999999999,997
2003,MON,51948500,66083084,83,6.3660000000000005,1028
2003,NYA,152749814,194311266,101,4.780869565217391,1119
2003,NYN,116876429,148677149,66,5.8764,907
