teamID,yearID,H
BOS,2006,1510
KCA,2006,1515
TBA,2006,1395
TOR,2006,1591
ARI,2006,1506
HOU,2006,1407
SFN,2006,1418
FLO,2006,1454
CHA,2006,1586
SLN,2006,1484
DET,2006,1548
WAS,2006,1437
COL,2006,1504
ATL,2006,1510
SEA,2006,1540
CLE,2006,1576
CIN,2006,1419
PIT,2006,1462
MIL,2006,1400
SDN,2006,1465
NYA,2006,1608
NYN,2006,1469
MIN,2006,1608
PHI,2007,1558
CHN,2007,1530
CHA,2007,1341
LAA,2007,1578
SDN,2007,1408
HOU,2007,1457
KCA,2007,1447
TBA,2007,1500
CLE,2007,1504
SLN,2007,1513
LAN,2007,1544
NYA,2007,1656
DET,2007,1652
SFN,2007,1407
CIN,2007,1496
TOR,2007,1434
FLO,2007,1504
MIL,2007,1455
WAS,2007,1415
SEA,2007,1629
BAL,2007,1529
OAK,2007,1430
NYN,2007,1543
ATL,2007,1562
ARI,2007,1350
PIT,2007,1463
TEX,2007,1460
BOS,2007,1561
MIN,2007,1460
COL,2007,1591
SEA,2008,1498
SLN,2008,1585
ARI,2008,1355
TOR,2008,1453
CHA,2008,1458
PIT,2008,1454
MIN,2008,1572
HOU,2008,1432
LAA,2008,1486
FLO,2008,1397
CHN,2008,1552
KCA,2008,1507
MIL,2008,1398
NYA,2008,1512
TEX,2008,1619
COL,2008,1462
CLE,2008,1455
DET,2008,1529
LAN,2008,1455
ATL,2008,1514
BAL,2008,1486
TBA,2008,1443
SDN,2008,1390
OAK,2008,1318
WAS,2008,1376
PHI,2008,1407
CIN,2008,1351
SFN,2008,1452
NYN,2008,1491
BOS,2008,1565
NYN,2009,1472
CHN,2009,1398
SFN,2009,1411
CLE,2009,1468
ARI,2009,1408
DET,2009,1443
ATL,2009,1459
SDN,2009,1315
FLO,2009,1493
CIN,2009,1349
COL,2009,1408
HOU,2009,1415
SEA,2009,1430
LAA,2009,1604
TOR,2009,1516
LAN,2009,1511
WAS,2009,1416
BOS,2009,1495
PHI,2009,1439
SLN,2009,1436
NYA,2009,1604
BAL,2009,1508
KCA,2009,1432
TBA,2009,1434
MIN,2009,1539
CHA,2009,1410
MIL,2009,1447
PIT,2009,1364
OAK,2009,1464
TEX,2009,1436
DET,2010,1515
TBA,2010,1343
LAN,2010,1368
NYN,2010,1361
PIT,2010,1303
BOS,2010,1511
NYA,2010,1485
COL,2010,1452
BAL,2010,1440
OAK,2010,1396
SEA,2010,1274
MIL,2010,1471
CLE,2010,1362
ATL,2010,1411
CIN,2010,1515
SFN,2010,1411
MIN,2010,1521
CHN,2010,1414
HOU,2010,1348
KCA,2010,1534
WAS,2010,1355
FLO,2010,1403
TOR,2010,1364
ARI,2010,1366
CHA,2010,1467
SDN,2010,1338
TEX,2010,1556
PHI,2010,1451
LAA,2010,1363
SLN,2010,1456
TBA,2011,1324
MIN,2011,1357
TEX,2011,1599
SEA,2011,1263
CHN,2011,1423
ATL,2011,1345
NYA,2011,1452
SFN,2011,1327
CIN,2011,1438
BOS,2011,1600
CLE,2011,1380
SLN,2011,1513
BAL,2011,1434
CHA,2011,1387
COL,2011,1429
OAK,2011,1330
WAS,2011,1319
HOU,2011,1442
PIT,2011,1325
DET,2011,1540
KCA,2011,1560
SDN,2011,1284
FLO,2011,1358
LAA,2011,1394
ARI,2011,1357
NYN,2011,1477
PHI,2011,1409
LAN,2011,1395
MIL,2011,1422
TOR,2011,1384
BOS,2012,1459
ATL,2012,1341
CHN,2012,1297
BAL,2012,1375
HOU,2012,1276
PIT,2012,1313
OAK,2012,1315
NYA,2012,1462
LAN,2012,1369
TBA,2012,1293
KCA,2012,1492
PHI,2012,1414
SLN,2012,1526
TEX,2012,1526
MIL,2012,1442
LAA,2012,1518
TOR,2012,1346
MIA,2012,1327
WAS,2012,1468
CHA,2012,1409
NYN,2012,1357
ARI,2012,1416
MIN,2012,1448
CIN,2012,1377
SDN,2012,1339
COL,2012,1526
DET,2012,1467
CLE,2012,1385
SEA,2012,1285
SFN,2012,1495
BAL,2013,1460
ATL,2013,1354
CIN,2013,1370
SLN,2013,1494
TEX,2013,1465
SFN,2013,1446
SDN,2013,1349
LAN,2013,1447
COL,2013,1511
OAK,2013,1403
LAA,2013,1476
BOS,2013,1566
TBA,2013,1421
ARI,2013,1468
CLE,2013,1391
PHI,2013,1355
NYN,2013,1318
TOR,2013,1398
KCA,2013,1443
DET,2013,1625
MIL,2013,1381
HOU,2013,1307
WAS,2013,1365
CHN,2013,1307
MIA,2013,1257
CHA,2013,1385
MIN,2013,1346
PIT,2013,1346
SEA,2013,1318
NYA,2013,1321
BAL,2014,1434
MIA,2014,1399
SEA,2014,1328
TOR,2014,1435
LAN,2014,1476
OAK,2014,1354
