yearID,teamID,salary,adjusted_salary
2000,MIN,16519500,22607964
2000,MON,32994333,45154799
2000,NYA,92338260,126370659
2000,NYN,79509776,108814080
2000,OAK,31971333,43754760
2000,PHI,47308000,64743944
2000,PIT,28928334,39590226
2000,SDN,54821000,75025952
2000,SEA,58915000,80628846
2000,SFN,53737826,73543561
2000,SLN,61453863,84103438
2000,TBA,62765129,85897988
2000,TEX,70795921,96888627
2000,TOR,44838332,61364049
2001,ANA,47535167,63530113
2001,ARI,85082999,113712288
2001,ATL,91936166,122871454
2001,BAL,67599540,90345879
2001,BOS,110035833,147061416
2001,CHA,65653667,87745246
2001,CHN,64715833,86491843
2001,CIN,48986000,65469132
2001,CLE,93152001,124496401
2001,COL,71541334,95614034
2001,DET,53416167,71389991
2001,FLO,35762500,47796102
2001,HOU,60612667,81008017
2001,KCA,35422500,47341696
2001,LAN,109105953,145818644
2001,MIL,43886833,58654164
2001,MIN,24130000,32249421
2001,MON,35159500,46990200
2001,NYA,112287143,150070262
2001,NYN,93174428,124526374
2001,OAK,33810750,45187614
2001,PHI,41663833,55683154
2001,PIT,57760833,77196579
2001,SDN,39182833,52367331
2001,SEA,74720834,99863393
2001,SFN,63280167,84573095
2001,SLN,78538333,104965429
2001,TBA,56980000,76153006
2001,TEX,88633500,118457485
2001,TOR,76895999,102770472
2002,ANA,61721667,80399786
2002,ARI,102819999,133935235
2002,ATL,92870367,120974660
2002,BAL,60493487,78799936
2002,BOS,108366060,141159636
2002,CHA,57052833,74318076
2002,CHN,75690833,98596280
2002,CIN,45050390,58683472
2002,CLE,78909449,102788909
2002,COL,56851043,74055221
2002,DET,55048000,71706544
2002,FLO,41979917,54683817
2002,HOU,63448417,82649083
2002,KCA,47257000,61557843
2002,LAN,94850953,123554608
2002,MIL,50287833,65505862
2002,MIN,40425000,52658353
2002,MON,38670500,50372909
2002,NYA,125928583,164036904
2002,NYN,94633593,123271470
2002,OAK,40004167,52110168
2002,PHI,57954999,75493255
2002,PIT,42323599,55131503
2002,SDN,41425000,53960972
2002,SEA,80282668,104577690
2002,SFN,78299835,101994815
2002,SLN,74660875,97254638
2002,TBA,34380000,44784024
2002,TEX,105526122,137460280
2002,TOR,76864333,100124903
2003,ANA,79031667,100535266
2003,ARI,80657000,102602834
2003,ATL,106243667,135151336
2003,BAL,73877500,93978710
2003,BOS,99946500,127140783
2003,CHA,51010000,64889229
2003,CHN,79868333,101599579
2003,CIN,59355667,75505655
2003,CLE,48584834,61804203
2003,COL,67179667,85458475
2003,DET,49168000,62546042
2003,FLO,49450000,62904771
2003,HOU,71040000,90369159
2003,KCA,40518000,51542477
2003,LAN,105572620,134297705
2003,MIL,40627000,51681135
2003,MIN,55505000,70607266
2003,MON,51948500,66083084
2003,NYA,152749814,194311266
2003,NYN,116876429,148677149
2003,OAK,50260834,63936223
2003,PHI,70780000,90038416
2003,PIT,54812429,69726255
2003,SDN,45210000,57511116
2003,SEA,86959167,110619747
2003,SFN,82852167,105395280
2003,SLN,83786666,106584045
2003,TBA,19630000,24971095
2003,TEX,103491667,131650549
2003,TOR,51269000,65218700
2004,ANA,100534667,126123258
2004,ARI,69780750,87541698
2004,ATL,90182500,113136205
2004,BAL,51623333,64762764
2004,BOS,127298500,159699156
2004,CHA,65212500,81810714
2004,CHN,90560000,113609788
2004,CIN,46615250,58479998
2004,CLE,34319300,43054421
2004,COL,65445167,82102601
2004,DET,46832000,58751917
2004,FLO,42143042,52869501
2004,HOU,75397000,94587425
2004,KCA,47609000,59726683
2004,LAN,92902001,116547887
2004,MIL,27528500,34535192
2004,MIN,53585000,67223724
2004,MON,40897500,51306938
2004,NYA,184193950,231075924
2004,NYN,96660970,121263608
2004,OAK,59425667,74550987
2004,PHI,92919167,116569422
2004,PIT,32227929,40430744
2004,SDN,55384833,69481660
2004,SEA,81515834,102263655
2004,SFN,82019166,102895098
2004,SLN,83228333,104412028
2004,TBA,29556667,37079579
2004,TEX,55050417,69062127
2004,TOR,50017000,62747579
2005,ARI,62329166,76810903
2005,ATL,86457302,106545040
2005,BAL,73914333,91087801
2005,BOS,123505125,152200661
2005,CHA,75178000,92645072
2005,CHN,87032933,107254415
2005,CIN,61892583,76272883
2005,CLE,41502500,51145310
2005,COL,47839000,58954050
2005,DET,69092000,85145034
2005,FLO,60408834,74444396
2005,HOU,76779000,94618053
2005,KCA,36881000,45450037
2005,LAA,94867822,116909684
2005,LAN,83039000,102332520
2005,MIL,39934833,49213406
2005,MIN,56186000,69240416
2005,NYA,208306817,256705422
2005,NYN,101305821,124843506
2005,OAK,55425762,68303543
2005,PHI,95522000,117715856
2005,PIT,38133000,46992930
2005,SDN,63290833,77996007
2005,SEA,87754334,108143428
2005,SFN,90199500,111156711
2005,SLN,92106833,113507199
2005,TBA,29679067,36574786
2005,TEX,55849000,68825117
2005,TOR,45719500,56342100
2005,WAS,48581500,59869065
2006,ARI,59684226,71968131
2006,ATL,90156876,108712508
2006,BAL,72585582,87524779
2006,BOS,120099824,144818163
2006,CHA,102750667,123898290
2006,CHN,94424499,113858472
2006,CIN,60909519,73445608
2006,CLE,56031500,67563620
2006,COL,41233000,49719367
2006,DET,82612866,99615828
2006,FLO,14671500,17691114
2006,HOU,88694435,106949075
2006,KCA,47294000,57027812
2006,LAA,103472000,124768084
2006,LAN,98447187,118709089
2006,MIL,57568333,69416756
2006,MIN,63396006,76443851
2006,NYA,194663079,234727650
2006,NYN,101084963,121889759
2006,OAK,62243079,75053635
2006,PHI,88273333,106441304
2006,PIT,46717750,56332961
2006,SDN,69896141,84281811
2006,SEA,87959833,106063281
2006,SFN,90056419,108591376
2006,SLN,88891371,107186543
2006,TBA,34917967,42104606
2006,TEX,68228662,82271140
2006,TOR,71365000,86052983
2006,WAS,63143000,76138773
2007,ARI,52067546,61252512
2007,ATL,87290833,102689357
2007,BAL,93174808,109611293
2007,BOS,143026214,168256728
2007,CHA,108671833,127842068
2007,CHN,99670332,117252659
2007,CIN,68524980,80613117
2007,CLE,61673267,72552729
2007,COL,54041000,63574093
2007,DET,94800369,111523611
2007,FLO,30507000,35888582
2007,HOU,87759000,103240111
2007,KCA,67116500,78956174
2007,LAA,109251333,128523795
2007,LAN,108454524,127586425
2007,MIL,70986500,83508861
2007,MIN,71439500,84041772
2007,NYA,189259045,222645254
2007,NYN,115231663,135559084
2007,OAK,79366940,93367651
2007,PHI,89428213,105203781
2007,PIT,38537833,45336092
2007,SDN,58110567,68361551
2007,SEA,106460833,125241037
2007,SFN,90219056,106134133
2007,SLN,90286823,106213854
2007,TBA,24123500,28379001
2007,TEX,68318675,80370419
2007,TOR,81942800,96397905
2007,WAS,36947500,43465217
2008,ARI,66202712,76130195
2008,ATL,102365683,117716015
2008,BAL,67196246,77272715
2008,BOS,133390035,153392650
2008,CHA,121189332,139362380
2008,CHN,118345833,136092482
2008,CIN,74117695,85232076
2008,CLE,78970066,90812088
2008,COL,68655500,78950793
2008,DET,137685196,158331895
2008,FLO,21811500,25082261
2008,HOU,88930414,102266049
2008,KCA,58245500,66979753
2008,LAA,119216333,137093518
2008,LAN,118588536,136371579
2008,MIL,80937499,93074549
2008,MIN,56932766,65470166
2008,NYA,207896789,239072127
2008,NYN,137793376,158456297
2008,OAK,47967126,55160076
2008,PHI,97879880,112557539
2008,PIT,48689783,55991100
2008,SDN,73677616,84726005
2008,SEA,117666482,135311258
2008,SFN,76594500,88080292
2008,SLN,99624449,114563717
2008,TBA,43820597,50391751
2008,TEX,67712326,77866184
2008,TOR,97793900,112458666
2008,WAS,54961000,63202723
2009,ARI,73115666,82189430
2009,ATL,96726166,108730029
2009,BAL,67101666,75429083
2009,BOS,121345999,136405220
2009,CHA,96068500,107990745
2009,CHN,134809000,151539000
2009,CIN,73558500,82687220
2009,CLE,81579166,91703263
2009,COL,75201000,84533557
2009,DET,115085145,129367385
2009,FLO,36834000,41405154
2009,HOU,102996414,115778424
2009,KCA,70519333,79270888
2009,LAA,113709000,127820458
2009,LAN,100414592,112876194
2009,MIL,80182502,90133271
2009,MIN,65299266,73403003
2009,NYA,201449189,226449337
2009,NYN,149373987,167911524
2009,OAK,61910000,69593124
2009,PHI,113004046,127028018
2009,PIT,48693000,54735874
2009,SDN,43333700,48711477
2009,SEA,98904166,111178322
2009,SFN,83026450,93330157
2009,SLN,88528409,99514918
2009,TBA,63313034,71170277
2009,TEX,68178798,76639889
2009,TOR,80538300,90533224
2009,WAS,59928000,67365155
2010,ARI,60718166,67112470
2010,ATL,84423666,93314425
2010,BAL,81612500,90207211
2010,BOS,162447333,179554859
2010,CHA,105530000,116643492
2010,CHN,146609000,162048572
2010,CIN,71761542,79318837
2010,CLE,61203966,67649430
2010,COL,84227000,93097047
2010,DET,122864928,135803983
2010,FLO,57029719,63035588
2010,HOU,92355500,102081570
2010,KCA,71405210,78924979
2010,LAA,104963866,116017738
2010,LAN,95358016,105400284
2010,MIL,81108278,89649889
2010,MIN,97559166,107833240
2010,NYA,206333389,228062609
2010,NYN,134422942,148579185
2010,OAK,55254900,61073860
2010,PHI,141928379,156875029
2010,PIT,34943000,38622889
2010,SDN,37799300,41779990
2010,SEA,86510000,95620473
2010,SFN,98641333,109029371
2010,SLN,93540751,103391641
2010,TBA,71923471,79497819
2010,TEX,55250544,61069046
2010,TOR,62234000,68787938
2010,WAS,61400000,67866108
2011,ARI,53639833,58701692
2011,ATL,87002692,95212922
2011,BAL,85304038,93353970
2011,BOS,161762475,177027602
2011,CHA,127789000,139848133
2011,CHN,125047329,136847738
2011,CIN,75947134,83114078
2011,CLE,48776566,53379490
2011,COL,88148071,96466387
2011,DET,105700231,115674902
2011,FLO,56944000,62317665
2011,HOU,70694000,77365219
2011,KCA,35712000,39082053
2011,LAA,138543166,151617144
2011,LAN,104188999,114021058
2011,MIL,85497333,93565506
2011,MIN,112737000,123375713
2011,NYA,202275028,221363225
2011,NYN,118847309,130062637
2011,OAK,66536500,72815385
2011,PHI,172976379,189299734
2011,PIT,45047000,49297974
2011,SDN,45869140,50197698
2011,SEA,86110600,94236645
2011,SFN,118198333,129352419
2011,SLN,105433572,115383079
2011,TBA,41053571,44927695
2011,TEX,92299264,101009318
2011,TOR,62567800,68472169
2011,WAS,63856928,69882949
2012,ARI,73804833,79419482
2012,ATL,82829942,89131170
2012,BAL,77353999,83238648
2012,BOS,173186617,186361664
2012,CHA,96919500,104292581
2012,CHN,88197033,94906558
2012,CIN,82203616,88457196
2012,CLE,78430300,84396828
2012,COL,78069571,84008657
2012,DET,132300000,142364627
2012,HOU,60651000,65264981
2012,KCA,60916225,65550382
2012,LAA,154485166,166237513
2012,LAN,95143575,102381553
2012,MIA,118078000,127060698
2012,MIL,97653944,105082897
2012,MIN,94085000,101242448
2012,NYA,196522289,211472580
2012,NYN,93353983,100455820
2012,OAK,55372500,59584923
