yearID,teamID,lgID,salary,adjusted_salary
2004,TBA,AL,29556667,37079579
2004,TEX,AL,55050417,69062127
2004,TOR,AL,50017000,62747579
2005,ARI,NL,62329166,76810903
2005,ATL,NL,86457302,106545040
2005,BAL,AL,73914333,91087801
2005,BOS,AL,123505125,152200661
2005,CHA,AL,75178000,92645072
2005,CHN,NL,87032933,107254415
2005,CIN,NL,61892583,76272883
2005,CLE,AL,41502500,51145310
2005,COL,NL,47839000,58954050
2005,DET,AL,69092000,85145034
2005,FLO,NL,60408834,74444396
2005,HOU,NL,76779000,94618053
2005,KCA,AL,36881000,45450037
2005,LAA,AL,94867822,116909684
2005,LAN,NL,83039000,102332520
2005,MIL,NL,39934833,49213406
2005,MIN,AL,56186000,69240416
2005,NYA,AL,208306817,256705422
2005,NYN,NL,101305821,124843506
2005,OAK,AL,55425762,68303543
2005,PHI,NL,95522000,117715856
2005,PIT,NL,38133000,46992930
2005,SDN,NL,63290833,77996007
2005,SEA,AL,87754334,108143428
2005,SFN,NL,90199500,111156711
2005,SLN,NL,92106833,113507199
2005,TBA,AL,29679067,36574786
2005,TEX,AL,55849000,68825117
2005,TOR,AL,45719500,56342100
2005,WAS,NL,48581500,59869065
2006,ARI,NL,59684226,71968131
2006,ATL,NL,90156876,108712508
2006,BAL,AL,72585582,87524779
2006,BOS,AL,120099824,144818163
2006,CHA,AL,102750667,123898290
2006,CHN,NL,94424499,113858472
2006,CIN,NL,60909519,73445608
2006,CLE,AL,56031500,67563620
2006,COL,NL,41233000,49719367
2006,DET,AL,82612866,99615828
2006,FLO,NL,14671500,17691114
2006,HOU,NL,88694435,106949075
2006,KCA,AL,47294000,57027812
2006,LAA,AL,103472000,124768084
2006,LAN,NL,98447187,118709089
2006,MIL,NL,57568333,69416756
2006,MIN,AL,63396006,76443851
2006,NYA,AL,194663079,234727650
2006,NYN,NL,101084963,121889759
2006,OAK,AL,62243079,75053635
2006,PHI,NL,88273333,106441304
2006,PIT,NL,46717750,56332961
2006,SDN,NL,69896141,84281811
2006,SEA,AL,87959833,106063281
2006,SFN,NL,90056419,108591376
2006,SLN,NL,88891371,107186543
2006,TBA,AL,34917967,42104606
2006,TEX,AL,68228662,82271140
2006,TOR,AL,71365000,86052983
2006,WAS,NL,63143000,76138773
2007,ARI,NL,52067546,61252512
2007,ATL,NL,87290833,102689357
2007,BAL,AL,93174808,109611293
2007,BOS,AL,143026214,168256728
2007,CHA,AL,108671833,127842068
2007,CHN,NL,99670332,117252659
2007,CIN,NL,68524980,80613117
2007,CLE,AL,61673267,72552729
2007,COL,NL,54041000,63574093
2007,DET,AL,94800369,111523611
2007,FLO,NL,30507000,35888582
2007,HOU,NL,87759000,103240111
2007,KCA,AL,67116500,78956174
2007,LAA,AL,109251333,128523795
2007,LAN,NL,108454524,127586425
2007,MIL,NL,70986500,83508861
2007,MIN,AL,71439500,84041772
2007,NYA,AL,189259045,222645254
2007,NYN,NL,115231663,135559084
2007,OAK,AL,79366940,93367651
2007,PHI,NL,89428213,105203781
2007,PIT,NL,38537833,45336092
2007,SDN,NL,58110567,68361551
2007,SEA,AL,106460833,125241037
2007,SFN,NL,90219056,106134133
2007,SLN,NL,90286823,106213854
2007,TBA,AL,24123500,28379001
2007,TEX,AL,68318675,80370419
2007,TOR,AL,81942800,96397905
2007,WAS,NL,36947500,43465217
2008,ARI,NL,66202712,76130195
2008,ATL,NL,102365683,117716015
2008,BAL,AL,67196246,77272715
2008,BOS,AL,133390035,153392650
2008,CHA,AL,121189332,139362380
2008,CHN,NL,118345833,136092482
2008,CIN,NL,74117695,85232076
2008,CLE,AL,78970066,90812088
2008,COL,NL,68655500,78950793
2008,DET,AL,137685196,158331895
2008,FLO,NL,21811500,25082261
2008,HOU,NL,88930414,102266049
2008,KCA,AL,58245500,66979753
2008,LAA,AL,119216333,137093518
2008,LAN,NL,118588536,136371579
2008,MIL,NL,80937499,93074549
2008,MIN,AL,56932766,65470166
2008,NYA,AL,207896789,239072127
2008,NYN,NL,137793376,158456297
2008,OAK,AL,47967126,55160076
2008,PHI,NL,97879880,112557539
2008,PIT,NL,48689783,55991100
2008,SDN,NL,73677616,84726005
2008,SEA,AL,117666482,135311258
2008,SFN,NL,76594500,88080292
2008,SLN,NL,99624449,114563717
2008,TBA,AL,43820597,50391751
2008,TEX,AL,67712326,77866184
2008,TOR,AL,97793900,112458666
2008,WAS,NL,54961000,63202723
2009,ARI,NL,73115666,82189430
2009,ATL,NL,96726166,108730029
2009,BAL,AL,67101666,75429083
2009,BOS,AL,121345999,136405220
2009,CHA,AL,96068500,107990745
2009,CHN,NL,134809000,151539000
2009,CIN,NL,73558500,82687220
2009,CLE,AL,81579166,91703263
2009,COL,NL,75201000,84533557
2009,DET,AL,115085145,129367385
2009,FLO,NL,36834000,41405154
2009,HOU,NL,102996414,115778424
2009,KCA,AL,70519333,79270888
2009,LAA,AL,113709000,127820458
2009,LAN,NL,100414592,112876194
2009,MIL,NL,80182502,90133271
2009,MIN,AL,65299266,73403003
2009,NYA,AL,201449189,226449337
2009,NYN,NL,149373987,167911524
2009,OAK,AL,61910000,69593124
2009,PHI,NL,113004046,127028018
2009,PIT,NL,48693000,54735874
2009,SDN,NL,43333700,48711477
2009,SEA,AL,98904166,111178322
2009,SFN,NL,83026450,93330157
2009,SLN,NL,88528409,99514918
2009,TBA,AL,63313034,71170277
2009,TEX,AL,68178798,76639889
2009,TOR,AL,80538300,90533224
2009,WAS,NL,59928000,67365155
2010,ARI,NL,60718166,67112470
2010,ATL,NL,84423666,93314425
2010,BAL,AL,81612500,90207211
2010,BOS,AL,162447333,179554859
2010,CHA,AL,105530000,116643492
2010,CHN,NL,146609000,162048572
2010,CIN,NL,71761542,79318837
2010,CLE,AL,61203966,67649430
